institution,national_rank
Harvard University,1
Massachusetts Institute of Technology,2
Stanford University,3
University of Cambridge,1
California Institute of Technology,4
Princeton University,5
University of Oxford,2
Yale University,6
Columbia University,7
"University of California, Berkeley",8
Cornell University,10
University of Pennsylvania,11
University of Tokyo,1
Johns Hopkins University,12
Swiss Federal Institute of Technology in Zurich,1
Kyoto University,2
Weizmann Institute of Science,1
"University of California, Los Angeles",13
"University of California, San Diego",14
Rockefeller University,15
Hebrew University of Jerusalem,2
New York University,16
"University of California, San Francisco",17
University of Wisconsin–Madison,18
University of Illinois at Urbana–Champaign,19
Imperial College London,3
University of Texas Southwestern Medical Center,21
University of Texas at Austin,22
University College London,4
Osaka University,3
Northwestern University,23
"University of Michigan, Ann Arbor",24
University of Toronto,1
University of North Carolina at Chapel Hill,25
Washington University in St. Louis,26
University of Utah,27
University of Washington - Seattle,28
"University of California, Santa Barbara",29
McGill University,2
"Purdue University, West Lafayette",30
Carnegie Mellon University,31
University of Southern California,32
"University of California, Davis",33
University of Colorado Boulder,34
"University of California, Irvine",35
University of Paris-Sud,1
"University of Minnesota, Twin Cities",36
University of Arizona,37
Technion – Israel Institute of Technology,3
"Ohio State University, Columbus",38
University of Rochester,39
École normale supérieure - Paris,2
University of Florida,40
Tel Aviv University,4
Rice University,41
Dartmouth College,42
Vanderbilt University,43
University of Edinburgh,1
École Polytechnique,3
Boston University,44
Pierre-and-Marie-Curie University,4
"Pennsylvania State University, University Park",45
University of Geneva,2
Brown University,46
University of British Columbia,3
"University of Maryland, College Park",47
Swiss Federal Institute of Technology in Lausanne,3
Capella University,304
Karolinska Institute,1
University of Pittsburgh - Pittsburgh Campus,48
Rutgers University-New Brunswick,49
"Texas A&M University, College Station",50
Nagoya University,4
Seoul National University,1
University of Manchester,5
Sapienza University of Rome,1
Case Western Reserve University,51
Tohoku University,5
Arizona State University,52
Emory University,53
Ruprecht Karl University of Heidelberg,1
Ludwig Maximilian University of Munich,2
University of Virginia,54
Leiden University,1
Tufts University,55
Georgia Institute of Technology,56
University of Zurich,4
University of Helsinki,1
Technical University of Munich,3
University of Vermont ,119
University of Oslo,1
University of Queensland,1
University of Copenhagen,1
New York University ,29
University of Sydney,2
Williams College,57
University of Texas MD Anderson Cancer Center,58
University of Nottingham,6
University of Bristol,7
Utrecht University,2
Mines ParisTech,5
Harvard University,1
University of San Francisco,103
Stanford University,2
University of Oxford,1
Massachusetts Institute of Technology,3
University of Cambridge,2
Columbia University,4
"University of California, Berkeley",5
Princeton University,6
Yale University,8
California Institute of Technology,9
University of Pennsylvania,10
Cornell University,11
University of Tokyo,1
Kyoto University,2
"University of California, Los Angeles",12
Johns Hopkins University,13
Swiss Federal Institute of Technology in Zurich,1
New York University,14
"University of California, San Diego",15
Hebrew University of Jerusalem,1
"University of California, San Francisco",16
University of Wisconsin–Madison,17
University of Illinois at Urbana–Champaign,18
Duke University,19
University of Texas at Austin,20
Imperial College London,3
Northwestern University,21
University of Toronto,1
University College London,4
University of Washington - Seattle,22
"University of Michigan, Ann Arbor",23
Weizmann Institute of Science,2
University of North Carolina at Chapel Hill,24
Osaka University,3
University of Paris-Sud,1
"University of California, Santa Barbara",25
"Purdue University, West Lafayette",26
Seoul National University,1
University of Colorado Boulder,28
University of Utah,29
Rutgers University-New Brunswick,30
"University of Minnesota, Twin Cities",31
University of Edinburgh,5
University of Texas Southwestern Medical Center,32
McGill University,2
Pierre-and-Marie-Curie University,2
Rockefeller University,33
"Pennsylvania State University, University Park",34
"Ohio State University, Columbus",36
"University of California, Davis",37
Boston University,38
University of Florida,39
University of Geneva,2
Tel Aviv University,3
University of British Columbia,3
"University of Maryland, College Park",40
Karolinska Institute,1
Vanderbilt University,41
Sapienza University of Rome,1
Washington University in St. Louis,42
École normale supérieure - Paris,3
"University of California, Irvine",43
Technion – Israel Institute of Technology,4
Ludwig Maximilian University of Munich,1
University of Copenhagen,1
University of Pittsburgh - Pittsburgh Campus,44
Keio University,4
University of Virginia,45
University of Manchester,6
Arizona State University,46
University of Zurich,3
King's College London,7
University of Rochester,47
Brown University,48
University of Arizona,49
Ruprecht Karl University of Heidelberg,2
"Texas A&M University, College Station",50
University of Oslo,1
Dartmouth College,51
University of Tulsa,136
Swiss Federal Institute of Technology in Lausanne,4
Utrecht University,1
Indiana University - Bloomington,52
École Polytechnique,4
National University of Singapore,1
University of Texas MD Anderson Cancer Center,53
Stony Brook University,54
Lomonosov Moscow State University,1
Nagoya University,5
University of Sydney,1
Emory University,55
Rice University,56
Tohoku University,6
Australian National University,2
University of Alberta,4
University of Helsinki,1
Paris Diderot University - Paris 7,5
Georgia Institute of Technology,57
Harvard University,1
Stanford University,2
Massachusetts Institute of Technology,3
University of Cambridge,1
University of Oxford,2
Columbia University,4
"University of California, Berkeley",5
University of Chicago,6
Princeton University,7
Yale University,8
Cornell University,9
California Institute of Technology,10
University of Tokyo,1
University of Pennsylvania,11
"University of California, Los Angeles",12
Kyoto University,2
New York University,13
Swiss Federal Institute of Technology in Zurich,1
Johns Hopkins University,14
"University of California, San Diego",15
"University of Michigan, Ann Arbor",16
Hebrew University of Jerusalem,1
Northwestern University,17
Seoul National University,1
University of Wisconsin–Madison,18
"University of California, San Francisco",20
University of Illinois at Urbana–Champaign,21
University of Texas at Austin,22
University College London,3
University of Toronto,1
University of Washington - Seattle,23
Rutgers University-New Brunswick,24
Keio University,3
École normale supérieure - Paris,1
École Polytechnique,2
Rockefeller University,25
Weizmann Institute of Science,2
Imperial College London,4
Waseda University,4
University of Virginia,26
McGill University,2
Osaka University,5
Dartmouth College,27
University of North Carolina at Chapel Hill,28
"Pennsylvania State University, University Park",29
"Ohio State University, Columbus",30
Lomonosov Moscow State University,1
"University of Minnesota, Twin Cities",31
University of Paris-Sud,3
"Purdue University, West Lafayette",33
University of Pittsburgh - Pittsburgh Campus,34
Peking University,1
University of Edinburgh,5
"University of California, Davis",36
Washington University in St. Louis,37
University of Florida,38
"University of California, Santa Barbara",39
University of British Columbia,3
University of Utah,40
University of Colorado Boulder,41
University of Notre Dame,42
National Taiwan University,1
University of Texas Southwestern Medical Center,43
Boston University,44
Pierre-and-Marie-Curie University,4
University of Manchester,6
University of Arizona,45
Vanderbilt University,46
Tohoku University,6
Karolinska Institute,1
National University of Singapore,1
